epoch,train_loss,train_acc,val_loss,val_acc
1,0.9767097234725952,0.7219866514205933,0.33219411969184875,0.894306480884552
2,0.29596003890037537,0.9052847027778625,0.21346452832221985,0.9324651956558228
3,0.20273920893669128,0.9350393414497375,0.16694888472557068,0.9488189220428467
4,0.16743811964988708,0.9454118609428406,0.18254069983959198,0.9421562552452087
5,0.13341352343559265,0.9566171765327454,0.164634108543396,0.9442762136459351
6,0.11470898985862732,0.9597213864326477,0.11913958936929703,0.9597213864326477
7,0.10736127197742462,0.9644911885261536,0.11417914181947708,0.9636583924293518
8,0.08550771325826645,0.9712295532226562,0.12176301330327988,0.9603270888328552
9,0.08209335803985596,0.972289502620697,0.11493120342493057,0.9627498388290405
10,0.07227756828069687,0.9756965637207031,0.10467521846294403,0.9666868448257446
11,0.07153385877609253,0.9757722616195679,0.08679269254207611,0.9706238508224487
12,0.06380762904882431,0.9783464670181274,0.10664717108011246,0.9651726484298706
13,0.0593533031642437,0.9796335697174072,0.10181090980768204,0.9657782912254333
14,0.05312725529074669,0.981450617313385,0.0736418142914772,0.9778921604156494
15,0.04992007091641426,0.9835705757141113,0.0914410799741745,0.9718352556228638
16,0.04666091129183769,0.9847062230110168,0.09511207044124603,0.968806803226471
17,0.046455349773168564,0.9844033718109131,0.09882989525794983,0.9669896960258484
18,0.041875965893268585,0.9861447811126709,0.09706410765647888,0.9648697972297668
19,0.039677172899246216,0.9875075817108154,0.07168719172477722,0.9748637080192566
20,0.03842057287693024,0.9872047305107117,0.08613263070583344,0.9724409580230713
21,0.033495306968688965,0.9891732335090637,0.08458274602890015,0.9739551544189453
22,0.03334032744169235,0.9893246293067932,0.06946481019258499,0.9772865176200867
23,0.03355928137898445,0.9892489314079285,0.06170051544904709,0.9812235236167908
24,0.032509516924619675,0.9887189865112305,0.057115402072668076,0.9839491248130798
25,0.03282894939184189,0.9884161353111267,0.07117825746536255,0.9778921604156494
26,0.03224252909421921,0.9884918332099915,0.062073756009340286,0.9827377200126648
27,0.032516688108444214,0.9882646799087524,0.06882482022047043,0.9788007140159607
28,0.025495748966932297,0.9915202856063843,0.06555937230587006,0.9803149700164795
29,0.026638619601726532,0.990838885307312,0.06022464856505394,0.9806178212165833
30,0.021770333871245384,0.9929587841033936,0.053904078900814056,0.9836462736129761
