epoch,train_loss,train_acc,val_loss,val_acc
1,1.1919522285461426,0.6490763425827026,0.7711403965950012,0.7453058958053589
2,0.44970598816871643,0.8606147766113281,0.5489888191223145,0.8249545693397522
3,0.31242725253105164,0.8994548916816711,0.47487330436706543,0.853725016117096
4,0.2489762306213379,0.9198213219642639,0.33063042163848877,0.9012719392776489
5,0.2110910713672638,0.9316323399543762,0.34907039999961853,0.8967292308807373
6,0.1758250892162323,0.9425348043441772,0.3714532256126404,0.893095076084137
7,0.16110564768314362,0.9481375217437744,0.32449591159820557,0.9067232012748718
8,0.14186197519302368,0.9543458223342896,0.2596815228462219,0.9270139336585999
9,0.13551412522792816,0.9547244310379028,0.2669566869735718,0.9264082312583923
10,0.12016380578279495,0.9600999355316162,0.26683393120765686,0.9230769276618958
11,0.11176673322916031,0.9619927406311035,0.289898544549942,0.9251968264579773
12,0.10552360117435455,0.9646426439285278,0.27946388721466064,0.9218655228614807
13,0.10011546313762665,0.9665354490280151,0.3710824251174927,0.9070260524749756
14,0.09201235324144363,0.9697152972221375,0.29650330543518066,0.9224712252616882
15,0.08568352460861206,0.9713810086250305,0.33952832221984863,0.9155057668685913
16,0.08359073102474213,0.9735766053199768,0.2623147666454315,0.9303452372550964
17,0.07789620757102966,0.9747123122215271,0.2634691596031189,0.9285281896591187
18,0.07875483483076096,0.9735009074211121,0.2847975194454193,0.9267110824584961
19,0.07684493809938431,0.9747123122215271,0.2713710069656372,0.9306480884552002
20,0.07813112437725067,0.9753180146217346,0.28033214807510376,0.9282253384590149
21,0.0788995623588562,0.9756965637207031,0.2605096101760864,0.932162344455719
22,0.07996305078268051,0.9735766053199768,0.26034781336784363,0.9327680468559265
23,0.0778096541762352,0.9738037586212158,0.2703074514865875,0.9300423860549927
24,0.07494152337312698,0.9755451083183289,0.29422688484191895,0.9264082312583923
25,0.07980749756097794,0.9739551544189453,0.28403303027153015,0.9267110824584961
26,0.0778692364692688,0.9746365547180176,0.2942323088645935,0.9233797788619995
27,0.07983344048261642,0.9749394059181213,0.24525363743305206,0.9351907968521118
28,0.07572579383850098,0.9757722616195679,0.26668184995651245,0.9327680468559265
29,0.07190213352441788,0.9763779640197754,0.3009170591831207,0.922774076461792
30,0.07528574019670486,0.9747123122215271,0.2638133466243744,0.930950939655304
