epoch,train_loss,train_acc,val_loss,val_acc
1,1.001266598701477,0.7142640948295593,0.38581496477127075,0.874015748500824
2,0.3324264883995056,0.8946850299835205,0.3064798414707184,0.9073289036750793
3,0.23895393311977386,0.9206541776657104,0.22961996495723724,0.9245911836624146
4,0.20613327622413635,0.9311023354530334,0.23291662335395813,0.9264082312583923
5,0.17018547654151917,0.9404906034469604,0.1755875200033188,0.9445790648460388
6,0.14232531189918518,0.9515445232391357,0.1889418512582779,0.9397335052490234
7,0.13506555557250977,0.9546486735343933,0.19245545566082,0.9451847076416016
8,0.11561284959316254,0.960175633430481,0.17470765113830566,0.9424591064453125
9,0.11298652738332748,0.9629769921302795,0.14515668153762817,0.953967273235321
10,0.10246668010950089,0.9650211930274963,0.15815390646457672,0.9521502256393433
11,0.10006164014339447,0.9652483463287354,0.1621224731206894,0.9527559280395508
12,0.09063658118247986,0.9682011008262634,0.1404961198568344,0.9609327912330627
13,0.08040287345647812,0.9723652601242065,0.1291990727186203,0.9609327912330627
14,0.07613101601600647,0.9741066098213196,0.13210979104042053,0.959418535232544
15,0.0710090771317482,0.9758479595184326,0.12802006304264069,0.9636583924293518
16,0.0631103441119194,0.9796335697174072,0.13807781040668488,0.9582071304321289
17,0.06313497573137283,0.9792550206184387,0.1317923218011856,0.960629940032959
18,0.06137656047940254,0.9793307185173035,0.10772871226072311,0.9639612436294556
19,0.05454375222325325,0.9821320176124573,0.12810717523097992,0.9630526900291443
20,0.059020061045885086,0.980693519115448,0.14261111617088318,0.960629940032959
21,0.051492661237716675,0.9825863242149353,0.12027803063392639,0.9639612436294556
22,0.04893428087234497,0.9839491248130798,0.13807976245880127,0.962144136428833
23,0.05156560242176056,0.9822077751159668,0.11469651758670807,0.9682011008262634
24,0.044068630784749985,0.9859176278114319,0.10956033319234848,0.9685039520263672
25,0.038548436015844345,0.9869018793106079,0.11017943918704987,0.9697152972221375
26,0.03398140147328377,0.98887038230896,0.1036662831902504,0.970320999622345
27,0.0365443155169487,0.9873561263084412,0.10266417264938354,0.9721381068229675
28,0.031362384557724,0.990081787109375,0.10425654798746109,0.97153240442276
29,0.03181488811969757,0.9897789359092712,0.10813765227794647,0.9700181484222412
30,0.032502397894859314,0.989097535610199,0.10254956781864166,0.9718352556228638
