epoch,train_loss,train_acc,val_loss,val_acc
1,1.1834267377853394,0.4392857253551483,1.3867591619491577,0.2666666805744171
2,0.8036364316940308,0.7392857074737549,1.4600036144256592,0.2666666805744171
3,0.6174969673156738,0.8285714387893677,1.551361322402954,0.2666666805744171
4,0.4177555441856384,0.8464285731315613,0.4558602571487427,0.8500000238418579
5,0.31257981061935425,0.9178571701049805,0.14411881566047668,0.9750000238418579
6,0.2209622859954834,0.9392856955528259,0.09796274453401566,0.9916666746139526
7,0.19811177253723145,0.9571428298950195,0.08327637612819672,0.9916666746139526
8,0.1661931574344635,0.949999988079071,0.0523931123316288,0.9916666746139526
9,0.12242724746465683,0.9678571224212646,0.04381180927157402,0.9916666746139526
10,0.12158400565385818,0.9607142806053162,0.043743059039115906,0.9916666746139526
11,0.08111338317394257,0.9821428656578064,0.029909176751971245,0.9916666746139526
12,0.07265020906925201,0.9928571581840515,0.01967494934797287,0.9916666746139526
13,0.07437233626842499,0.9857142567634583,0.01765359751880169,0.9916666746139526
14,0.07461494952440262,0.9785714149475098,0.020071707665920258,1.0
15,0.058487892150878906,0.9857142567634583,0.01479425746947527,1.0
16,0.07388278096914291,0.9750000238418579,0.012812316417694092,1.0
17,0.0363110676407814,0.9964285492897034,0.014261599630117416,0.9916666746139526
18,0.04296194389462471,0.9964285492897034,0.017464540898799896,0.9916666746139526
19,0.028580443933606148,0.9964285492897034,0.014356730505824089,0.9916666746139526
20,0.0386791005730629,0.9821428656578064,0.013056891970336437,0.9916666746139526
21,0.027461359277367592,0.9928571581840515,0.015251975506544113,0.9916666746139526
22,0.05742567777633667,0.9750000238418579,0.01597600243985653,0.9916666746139526
23,0.03641122952103615,0.9928571581840515,0.017851797863841057,0.9916666746139526
24,0.03125058859586716,0.9928571581840515,0.01840253546833992,0.9916666746139526
25,0.023202087730169296,0.9964285492897034,0.015416544862091541,0.9916666746139526
26,0.027670128270983696,0.9928571581840515,0.017293274402618408,0.9916666746139526
27,0.018166055902838707,1.0,0.015750784426927567,0.9916666746139526
28,0.029336506500840187,0.9964285492897034,0.01748085208237171,0.9916666746139526
29,0.029406482353806496,0.9928571581840515,0.01579117216169834,0.9916666746139526
30,0.017034204676747322,1.0,0.020391259342432022,0.9916666746139526
