epoch,train_loss,train_acc,val_loss,val_acc
1,1.439652919769287,0.31785714626312256,1.0922502279281616,0.5666666626930237
2,1.1275674104690552,0.5214285850524902,0.8506561517715454,0.7083333134651184
3,0.8571326732635498,0.7107142806053162,0.6585264205932617,0.824999988079071
4,0.7088613510131836,0.7928571701049805,0.543181836605072,0.8999999761581421
5,0.6002904772758484,0.8678571581840515,0.45794811844825745,0.9416666626930237
6,0.5036226511001587,0.9214285612106323,0.3868366777896881,0.9416666626930237
7,0.4365155100822449,0.9357143044471741,0.348595529794693,0.9583333134651184
8,0.4118747115135193,0.9285714030265808,0.30683663487434387,0.9666666388511658
9,0.3686458170413971,0.9464285969734192,0.27878764271736145,0.9583333134651184
10,0.32054829597473145,0.9607142806053162,0.24243535101413727,0.9916666746139526
11,0.27406570315361023,0.9607142806053162,0.22538907825946808,0.9916666746139526
12,0.2726704478263855,0.9714285731315613,0.20166967809200287,0.9916666746139526
13,0.24076883494853973,0.9714285731315613,0.19492408633232117,0.9833333492279053
14,0.22463780641555786,0.9821428656578064,0.17471656203269958,1.0
15,0.22553743422031403,0.9714285731315613,0.164412721991539,1.0
16,0.2028588503599167,0.9785714149475098,0.15312543511390686,1.0
17,0.18531115353107452,0.9785714149475098,0.1418592482805252,1.0
18,0.17742964625358582,0.9821428656578064,0.13654573261737823,1.0
19,0.1549852192401886,0.9857142567634583,0.1220584362745285,1.0
20,0.1678224802017212,0.9857142567634583,0.11695476621389389,1.0
21,0.1566159427165985,0.9821428656578064,0.11260983347892761,1.0
22,0.14361660182476044,0.9928571581840515,0.10669338703155518,1.0
23,0.1419842541217804,0.9785714149475098,0.10063635557889938,1.0
24,0.12058358639478683,1.0,0.09176041930913925,1.0
25,0.13096080720424652,0.9892857074737549,0.09455655515193939,1.0
26,0.12365538626909256,0.9857142567634583,0.09378805756568909,1.0
27,0.11370597779750824,0.9928571581840515,0.08102310448884964,1.0
28,0.10458100587129593,0.9964285492897034,0.08314517140388489,1.0
29,0.1164085641503334,0.9750000238418579,0.07376433908939362,1.0
30,0.10332023352384567,0.9928571581840515,0.07070329785346985,1.0
