epoch,train_loss,train_acc,val_loss,val_acc
1,1.120281457901001,0.6668685674667358,0.7237849235534668,0.7631738185882568
2,0.4375394880771637,0.8639460802078247,0.6778638958930969,0.7998182773590088
3,0.317473828792572,0.8994548916816711,0.599468469619751,0.825257420539856
4,0.2653053104877472,0.9145215153694153,0.41165417432785034,0.8773470520973206
5,0.22557543218135834,0.923985481262207,0.48050519824028015,0.8634161353111267
6,0.1983993649482727,0.932919442653656,0.5157951712608337,0.8628104329109192
7,0.17738808691501617,0.9406420588493347,0.48820802569389343,0.8637189865112305
8,0.16365419328212738,0.9476075172424316,0.4061208963394165,0.8831011652946472
9,0.14608347415924072,0.9499545693397522,0.4608008563518524,0.8743185997009277
10,0.14242000877857208,0.9509388208389282,0.34745413064956665,0.8982434868812561
11,0.12377000600099564,0.9587371349334717,0.3780764937400818,0.8961235880851746
12,0.1220528706908226,0.9579800367355347,0.32769158482551575,0.902483344078064
13,0.11449729651212692,0.9609327912330627,0.3769043982028961,0.8921865820884705
14,0.11116809397935867,0.9635069370269775,0.39957287907600403,0.8918837308883667
15,0.10361026227474213,0.9657025933265686,0.3402591943740845,0.9012719392776489
16,0.0937875434756279,0.9681254029273987,0.3389568328857422,0.9043004512786865
17,0.08439066261053085,0.9704724550247192,0.37715303897857666,0.8958207368850708
18,0.07804471999406815,0.9734252095222473,0.3635019063949585,0.9003634452819824
19,0.08003365993499756,0.9728195071220398,0.3358854055404663,0.9055117964744568
20,0.07411567121744156,0.9750908613204956,0.352317214012146,0.9027861952781677
21,0.07566622644662857,0.9752422571182251,0.3114021122455597,0.9112659096717834
22,0.07520757615566254,0.9748637080192566,0.3126189708709717,0.9115687608718872
23,0.07367336750030518,0.9747880101203918,0.33798351883888245,0.9033918976783752
24,0.07359331101179123,0.9755451083183289,0.3435809314250946,0.9058146476745605
25,0.07503610104322433,0.9756965637207031,0.3632752001285553,0.8964263796806335
26,0.07342112809419632,0.9746365547180176,0.3577131927013397,0.9012719392776489
27,0.07321206480264664,0.9750908613204956,0.3080470561981201,0.9124773144721985
28,0.06924537569284439,0.9772107601165771,0.3201849162578583,0.9079346060752869
29,0.06453513354063034,0.9784221649169922,0.37740516662597656,0.8979406356811523
30,0.07237637042999268,0.9748637080192566,0.33085042238235474,0.9076317548751831
